,name,company,year,Price,kms_driven,fuel_type
44,Aveo Chevrolet,Chevrolet,2017,210000000,155,Xăng
45,Fortuner Toyota,Toyota,2019,815000000,65488,Xăng
46,Mondeo Ford,Ford,2004,178000000,15000,Xăng
47,Xpander Mitsubishi,Mitsubishi,2021,505000000,17000,Xăng
48,Vios Toyota,Toyota,2016,285000000,65663,Xăng
49,Seltos Kia,Kia,2020,609000000,28000,Xăng
50,Focus Ford,Ford,2018,379000000,990000,Xăng
51,Vios Toyota,Toyota,2016,289000000,69523,Xăng
52,C Class Mercedes Benz,Mercedes Benz,2021,1339000000,36000,Xăng
53,Spark Chevrolet,Chevrolet,2018,185000000,75,Xăng
54,Vios Toyota,Toyota,2017,458000000,66000,Xăng
55,Civic Honda,Honda,2020,685000000,19000,Xăng
56,Ranger Ford,Ford,2019,522000000,51000,Dầu
57,CX 5 Mazda,Mazda,2016,565000000,83000,Xăng
58,Outback Subaru,Subaru,2016,950000000,60000,Xăng
59,Triton Mitsubishi,Mitsubishi,2018,522000000,82000,Dầu
60,Forte Kia,Kia,2013,345000000,39999,Xăng
61,Ciaz Suzuki,Suzuki,2019,345000000,40000,Xăng
62,GLE Class Mercedes Benz,Mercedes Benz,2016,1439000000,94000,Xăng
63,Ertiga Suzuki,Suzuki,2019,435000000,90000,Xăng
64,Vios Toyota,Toyota,2007,108000000,123456,Xăng
65,3 Mazda,Mazda,2018,508000000,55000,Xăng
66,Lux A2.0 Vinfast,Vinfast,2020,635000000,43000,Xăng
67,K3 Kia,Kia,2021,615000000,17000,Xăng
68,Santa Fe Hyundai,Hyundai,2011,518000000,13000,Dầu
69,2 Mazda,Mazda,2019,438000000,20000,Xăng
70,Spark Chevrolet,Chevrolet,2014,92000000,80000,Xăng
71,Tucson Hyundai,Hyundai,2017,679000000,45000,Xăng
72,Seltos Kia,Kia,2021,638000000,30000,Xăng
73,CR V Honda,Honda,2018,750000000,65000,Xăng
74,Soluto Kia,Kia,2021,338000000,41000,Xăng
75,S Class Mercedes Benz,Mercedes Benz,2016,2000000000,70000,Xăng
76,Attrage Mitsubishi,Mitsubishi,2022,358000000,3000,Xăng
77,Sonet Kia,Kia,2022,600000000,12000,Xăng
78,Outlander Mitsubishi,Mitsubishi,2018,669000000,38000,Xăng
79,Lux A2.0 Vinfast,Vinfast,2019,565000000,67000,Xăng
80,C Class Mercedes Benz,Mercedes Benz,2016,790000000,40000,Xăng
81,Cerato Kia,Kia,2014,425000000,60000,Xăng
82,Kona Hyundai,Hyundai,2020,599000000,43000,Xăng
83,Sienna Toyota,Toyota,2008,450000000,66000,Xăng
84,Accent Hyundai,Hyundai,2022,522000000,9000,Xăng
85,Matiz Daewoo,Daewoo,2006,66000000,20000,Xăng
86,Everest Ford,Ford,2020,939000000,42000,Dầu
87,Sienna Toyota,Toyota,2012,1380000000,68000,Xăng
88,Innova Toyota,Toyota,2022,830000000,39000,Xăng
89,Outlander Mitsubishi,Mitsubishi,2018,645000000,70000,Xăng
90,Camry Toyota,Toyota,2012,400000000,95678,Xăng
91,Colorado Chevrolet,Chevrolet,2019,525000000,45000,Dầu
92,Camry Toyota,Toyota,2019,910000000,57000,Xăng
93,CX 8 Mazda,Mazda,2021,878000000,50500,Xăng
94,Nubira Daewoo,Daewoo,2002,70000000,39000,Xăng
95,6 Mazda,Mazda,2020,591000000,150000,Xăng
96,Cefiro Nissan,Nissan,2004,199000000,135000,Xăng
97,3 Series BMW,BMW,2011,320000000,95000,Xăng
98,Accent Hyundai,Hyundai,2021,488000000,35000,Xăng
99,E Class Mercedes Benz,Mercedes Benz,2022,2299000000,1500,Xăng
100,Civic Honda,Honda,2018,520000000,43000,Xăng
101,Transit Ford,Ford,2018,585000000,80000,Dầu
102,Grandis Mitsubishi,Mitsubishi,2006,265000000,135,Xăng
103,Cruze Chevrolet,Chevrolet,2018,328000000,37000,Xăng
104,3 Mazda,Mazda,2017,475000000,70000,Xăng
105,Lux A2.0 Vinfast,Vinfast,2021,615000000,23000,Xăng
106,Rush Toyota,Toyota,2020,558999999,28000,Xăng
107,City Honda,Honda,2019,465000000,40000,Xăng
108,Hiace Toyota,Toyota,2003,43000000,150000,Xăng
109,Cerato Kia,Kia,2019,440000000,78000,Xăng
110,Grand Starex Hyundai,Hyundai,2014,490000000,12000,Dầu
111,Innova Toyota,Toyota,2007,165000000,195000,Xăng
112,Vitara Suzuki,Suzuki,2004,139000000,100000,Xăng
113,CX 5 Mazda,Mazda,2019,785000000,38000,Xăng
114,Everest Ford,Ford,2014,455000000,86000,Dầu
115,Vios Toyota,Toyota,2018,415000000,67899,Xăng
116,Innova Toyota,Toyota,2010,225000000,150000,Xăng
117,Xpander Mitsubishi,Mitsubishi,2019,520000000,48000,Xăng
118,C Class Mercedes Benz,Mercedes Benz,2022,2739000000,46,Xăng
119,Lux A2.0 Vinfast,Vinfast,2021,645000000,36000,Xăng
120,Fadil Vinfast,Vinfast,2019,288000000,46000,Xăng
121,Q3 Audi,Audi,2016,790000000,55000,Xăng
122,CX 5 Mazda,Mazda,2014,479000000,7,Xăng
123,Macan Porsche,Porsche,2016,1990000000,41000,Xăng
124,Triton Mitsubishi,Mitsubishi,2019,460000000,70000,Dầu
125,Innova Toyota,Toyota,2021,648000000,40000,Xăng
126,3008 Peugeot,Peugeot,2018,588000000,31000,Xăng
127,Grand Starex Hyundai,Hyundai,2016,435000000,70000,Dầu
128,Soluto Kia,Kia,2020,360000000,30000,Xăng
129,Wigo Toyota,Toyota,2021,370000000,21000,Xăng
130,Fortuner Toyota,Toyota,2010,425000000,150000,Dầu
131,CR V Honda,Honda,2018,725000000,50000,Xăng
132,Fortuner Toyota,Toyota,2018,859000000,60000,Dầu
133,Sorento Kia,Kia,2022,1056000000,40000,Dầu
134,Innova Toyota,Toyota,2015,320000000,90000,Xăng
135,Triton Mitsubishi,Mitsubishi,2017,439000000,92000,Dầu
136,Santa Fe Hyundai,Hyundai,2008,305000000,160000,Xăng
137,Morning Kia,Kia,2008,147000000,124000,Xăng
138,Xpander Cross Mitsubishi,Mitsubishi,2021,575000000,2000,Xăng
139,Morning Kia,Kia,2009,185000000,192000,Xăng
140,Vios Toyota,Toyota,2009,175000000,20000,Xăng
141,6 Mazda,Mazda,2011,333000000,69,Xăng
142,Ranger Ford,Ford,2016,435000000,123456,Dầu
143,3 Mazda,Mazda,2017,438000000,69000,Xăng
144,K5 Kia,Kia,2022,830000000,7000,Xăng
145,K3 Kia,Kia,2022,664000000,15000,Xăng
146,Camry Toyota,Toyota,2015,580000000,90000,Xăng
147,Morning Kia,Kia,2022,418000000,9000,Xăng
148,Getz Hyundai,Hyundai,2007,155000000,120000,Xăng
149,Xpander Mitsubishi,Mitsubishi,2019,500000000,13000,Xăng
150,Carens Kia,Kia,2014,248000000,112000,Xăng
151,Xpander Mitsubishi,Mitsubishi,2019,445000000,80000,Xăng
152,Jolie Mitsubishi,Mitsubishi,2005,166000000,70000,Xăng
153,CR V Honda,Honda,2014,530000000,76000,Xăng
154,Morning Kia,Kia,2011,205000000,12000,Xăng
155,Fiesta Ford,Ford,2011,235000000,110000,Xăng
156,Vios Toyota,Toyota,2017,340000000,90000,Xăng
157,Colorado Chevrolet,Chevrolet,2017,345000000,120,Dầu
158,Camry Toyota,Toyota,2017,729000000,80000,Xăng
159,Outlander Mitsubishi,Mitsubishi,2019,635000000,99500,Xăng
160,Morning Kia,Kia,2012,318000000,71000,Xăng
161,Fadil Vinfast,Vinfast,2022,343000000,134600,Xăng
162,Camry Toyota,Toyota,2019,768000000,48200,Xăng
163,Vios Toyota,Toyota,2017,408000000,82000,Xăng
164,Carnival Kia,Kia,2021,1399000000,38000,Dầu
165,Yaris Toyota,Toyota,2009,285000000,90000,Xăng
166,C Class Mercedes Benz,Mercedes Benz,2019,896000000,20000,Xăng
167,Accent Hyundai,Hyundai,2019,363000000,62000,Xăng
168,X trail Nissan,Nissan,2019,760000000,60000,Xăng
169,Forfour Smart,Smart,2005,155000000,120000,Xăng
170,GLC Class Mercedes Benz,Mercedes Benz,2017,1139000000,40000,Xăng
171,Vios Toyota,Toyota,2019,439000000,60000,Xăng
172,Innova Toyota,Toyota,2013,350000000,120000,Xăng
173,Rio Kia,Kia,2016,355000000,68000,Xăng
174,Seltos Kia,Kia,2022,595000000,2800,Xăng
175,Morning Kia,Kia,2016,248000000,79000,Xăng
176,Seltos Kia,Kia,2020,635000000,28000,Xăng
177,C Class Mercedes Benz,Mercedes Benz,2016,795000000,90000,Xăng
178,Land Cruiser Toyota,Toyota,2001,275000000,170000,Xăng
179,3 Mazda,Mazda,2016,395000000,100000,Xăng
180,Lancer Mitsubishi,Mitsubishi,2002,115000000,19000,Xăng
181,Vios Toyota,Toyota,2019,390000000,66000,Xăng
182,Vios Toyota,Toyota,2017,398000000,7000,Xăng
183,Camry Toyota,Toyota,2019,918000000,24000,Xăng
184,Trailblazer Chevrolet,Chevrolet,2018,685000000,50000,Dầu
185,Kona Hyundai,Hyundai,2018,520000000,60000,Xăng
186,Morning Kia,Kia,2011,155000000,112,Xăng
187,Fortuner Toyota,Toyota,2013,450000000,64000,Xăng
188,Civic Honda,Honda,2008,195000000,120000,Xăng
189,K5 Kia,Kia,2022,775000000,1000,Xăng
190,GLA Class Mercedes Benz,Mercedes Benz,2015,670000000,60000,Xăng
191,Tucson Hyundai,Hyundai,2020,755000000,39000,Xăng
192,Vios Toyota,Toyota,2018,375000000,89000,Xăng
193,Pajero Sport Mitsubishi,Mitsubishi,2014,440000000,90000,Xăng
194,Cerato Kia,Kia,2011,330000000,100000,Xăng
195,Sienna Toyota,Toyota,2004,355000000,99000,Xăng
196,2008 Peugeot,Peugeot,2021,725000000,12000,Xăng
197,Soluto Kia,Kia,2019,366000000,37000,Xăng
198,Aveo Chevrolet,Chevrolet,2016,248000000,80000,Xăng
199,Grand i10 Hyundai,Hyundai,2018,290000000,650000,Xăng
200,Cerato Kia,Kia,2017,455000000,68000,Xăng
201,Grunder Mitsubishi,Mitsubishi,2010,399500000,91500,Xăng
202,CX 8 Mazda,Mazda,2019,760000000,60000,Xăng
203,Everest Ford,Ford,2020,895000000,43000,Dầu
204,Vios Toyota,Toyota,2011,298000000,101999,Xăng
205,Camry Toyota,Toyota,2013,495000000,70000,Xăng
206,Accent Hyundai,Hyundai,2021,398000000,29000,Xăng
207,3 Series BMW,BMW,1999,96000000,12345,Xăng
208,Xpander Mitsubishi,Mitsubishi,2020,518000000,67000,Xăng
209,Cerato Kia,Kia,2017,450000000,64000,Xăng
210,Magnus Daewoo,Daewoo,2004,95000000,56789,Xăng
211,Tucson Hyundai,Hyundai,2010,355000000,150000,Xăng
212,Camry Toyota,Toyota,2007,383000000,80000,Xăng
213,Colorado Chevrolet,Chevrolet,2018,560000000,70000,Xăng
214,Camry Toyota,Toyota,2003,239000000,120,Xăng
215,Outlander Mitsubishi,Mitsubishi,2018,616000000,73000,Xăng
216,Cruze Chevrolet,Chevrolet,2010,192000000,90000,Xăng
217,Camry Toyota,Toyota,2000,140000000,150000,Xăng
218,Fortuner Toyota,Toyota,2014,445000000,120000,Xăng
219,EcoSport Ford,Ford,2019,489000000,38000,Xăng
220,CR V Honda,Honda,2020,890000000,18200,Xăng
221,3 Mazda,Mazda,2016,405000000,89000,Xăng
222,Kona Hyundai,Hyundai,2020,580000000,30000,Xăng
223,Tucson Hyundai,Hyundai,2019,730000000,5200,Xăng
224,Morning Kia,Kia,2012,180000000,90000,Xăng
225,Morning Kia,Kia,2009,176000000,90000,Xăng
226,Corolla Altis Toyota,Toyota,2017,525000000,56000,Xăng
227,Seltos Kia,Kia,2020,638000000,25000,Xăng
228,Matiz Daewoo,Daewoo,2005,45000000,120000,Xăng
229,Outlander Mitsubishi,Mitsubishi,2018,616000000,73000,Xăng
230,Morning Kia,Kia,2021,415000000,30000,Xăng
231,Everest Ford,Ford,2014,435000000,85000,Dầu
232,X6 BMW,BMW,2018,2079000000,27000,Xăng
233,Ranger Ford,Ford,2019,568000000,79000,Dầu
234,Camry Toyota,Toyota,2019,758000000,87000,Xăng
235,Q5 Audi,Audi,2013,685000000,60500,Xăng
236,RX Lexus,Lexus,2021,3299000000,44000,Xăng
237,Trailblazer Chevrolet,Chevrolet,2018,529000000,71000,Xăng
238,6 Mazda,Mazda,2016,485000000,70000,Xăng
239,Cruze Chevrolet,Chevrolet,2017,265000000,62,Xăng
240,Xpander Mitsubishi,Mitsubishi,2020,518000000,67000,Xăng
241,CX 5 Mazda,Mazda,2014,438000000,115000,Xăng
242,3 Mazda,Mazda,2018,508000000,55000,Xăng
243,Camry Toyota,Toyota,2012,425000000,900000,Xăng
244,Accent Hyundai,Hyundai,2018,355000000,74000,Xăng
245,Ranger Ford,Ford,2020,535000000,39000,Dầu
246,GLC Class Mercedes Benz,Mercedes Benz,2021,2499000000,26000,Xăng
247,i20 Hyundai,Hyundai,2017,415000000,63000,Xăng
248,Fortuner Toyota,Toyota,2016,590000000,88000,Dầu
249,CR V Honda,Honda,2018,750000000,63000,Xăng
250,Picanto Kia,Kia,2007,163000000,110000,Xăng
251,Vios Toyota,Toyota,2018,429000000,37000,Xăng
252,GLC Class Mercedes Benz,Mercedes Benz,2019,1359000000,32000,Xăng
253,BT 50 Mazda,Mazda,2016,408000000,68000,Dầu
254,Santa Fe Hyundai,Hyundai,2019,865000000,30000,Xăng
255,Vios Toyota,Toyota,2019,450000000,36000,Xăng
256,5 Series BMW,BMW,2010,535000000,55000,Xăng
257,626 Mazda,Mazda,1994,65000000,10000,Xăng
258,Vios Toyota,Toyota,2017,385000000,38000,Xăng
259,Ranger Ford,Ford,2021,588000000,32000,Dầu
260,Sedona Kia,Kia,2017,585000000,92000,Xăng
261,Sedona Kia,Kia,2016,628000000,56000,Dầu
262,Camry Toyota,Toyota,2007,366000000,140000,Xăng
263,CLA Class Mercedes Benz,Mercedes Benz,2015,620000000,111111,Xăng
264,Accent Hyundai,Hyundai,2022,499000000,10000,Xăng
265,C Class Mercedes Benz,Mercedes Benz,2020,1199000000,47000,Xăng
266,Ranger Ford,Ford,2019,509000000,62000,Dầu
267,Grand i10 Hyundai,Hyundai,2020,370000000,36000,Xăng
268,Innova Toyota,Toyota,2015,428000000,90000,Xăng
269,City Honda,Honda,2019,448000000,34000,Xăng
270,Vios Toyota,Toyota,2018,415000000,60000,Xăng
271,Ranger Ford,Ford,2016,499000000,114000,Dầu
272,Ranger Ford,Ford,2016,478000000,62000,Dầu
273,S Class Mercedes Benz,Mercedes Benz,2016,1790000000,80000,Xăng
274,Fortuner Toyota,Toyota,2016,590000000,70000,Xăng
275,Yaris Toyota,Toyota,2017,438000000,88000,Xăng
276,Tucson Hyundai,Hyundai,2018,740000000,120000,Xăng
277,Ranger Ford,Ford,2017,498000000,49000,Dầu
278,E Class Mercedes Benz,Mercedes Benz,2017,1189000000,35000,Xăng
279,Sorento Kia,Kia,2020,768000000,37999,Xăng
280,Seltos Kia,Kia,2020,639000000,16800,Xăng
281,EcoSport Ford,Ford,2017,398000000,65000,Xăng
282,CR V Honda,Honda,2010,368000000,80000,Xăng
283,Grand i10 Hyundai,Hyundai,2020,285000000,50000,Xăng
284,Carnival Kia,Kia,2022,1469000000,27000,Dầu
285,Grand i10 Hyundai,Hyundai,2017,250000000,65000,Xăng
286,Fortuner Toyota,Toyota,2011,368000000,120000,Xăng
287,BT 50 Mazda,Mazda,2021,589000000,35000,Dầu
288,Getz Hyundai,Hyundai,2010,156000000,1200,Xăng
289,Innova Toyota,Toyota,2013,365000000,100000,Xăng
290,3 Mazda,Mazda,2019,490000000,48000,Xăng
291,Accent Hyundai,Hyundai,2021,480000000,18000,Xăng
292,Fortuner Toyota,Toyota,2017,690000000,70000,Xăng
293,Accent Hyundai,Hyundai,2022,499999000,25000,Xăng
294,Hilux Toyota,Toyota,2013,430000000,89000,Dầu
295,Lancer Mitsubishi,Mitsubishi,2005,161000000,220000,Xăng
296,3 Mazda,Mazda,2016,458000000,58000,Xăng
297,Ranger Ford,Ford,2017,625000000,72000,Dầu
298,Camry Toyota,Toyota,2011,470000000,30000,Xăng
299,Innova Toyota,Toyota,2020,780000000,13000,Xăng
300,Vios Toyota,Toyota,2016,286000000,68000,Xăng
301,Optima Kia,Kia,2021,648000000,29000,Xăng
302,Santa Fe Hyundai,Hyundai,2018,760000000,51000,Dầu
303,Sedona Kia,Kia,2015,545000000,105000,Xăng
304,CX 5 Mazda,Mazda,2020,746000000,36000,Xăng
305,Q5 Audi,Audi,2014,695000000,60500,Xăng
306,3 Mazda,Mazda,2019,538000000,30000,Xăng
307,Vios Toyota,Toyota,2018,368000000,72339,Xăng
308,Innova Toyota,Toyota,2016,448000000,80000,Xăng
309,Rondo Kia,Kia,2017,408000000,78000,Xăng
310,Cerato Kia,Kia,2020,535000000,54000,Xăng
311,Gentra Daewoo,Daewoo,2008,125000000,120000,Xăng
312,2 Mazda,Mazda,2018,408000000,40000,Xăng
313,Morning Kia,Kia,2010,200000000,137000,Xăng
314,CX 5 Mazda,Mazda,2022,785000000,11000,Xăng
315,Santa Fe Hyundai,Hyundai,2019,1010000000,27000,Dầu
316,Polo Volkswagen,Volkswagen,2016,350000000,60000,Xăng
317,CX 8 Mazda,Mazda,2020,849000000,28000,Xăng
318,Yaris Toyota,Toyota,2008,286000000,140000,Xăng
319,City Honda,Honda,2018,435000000,60000,Xăng
320,Fortuner Toyota,Toyota,2022,1050000000,33000,Xăng
321,Corolla Altis Toyota,Toyota,2017,485000000,65000,Xăng
322,Everest Ford,Ford,2019,835000000,50500,Dầu
323,Panamera Porsche,Porsche,2019,4600000000,14000,Xăng
324,Venza Toyota,Toyota,2009,485000000,68000,Xăng
325,Ranger Ford,Ford,2017,528000000,68000,Dầu
326,Accent Hyundai,Hyundai,2021,45000000,15000,Xăng
327,Xpander Mitsubishi,Mitsubishi,2019,520000000,56000,Xăng
328,Fortuner Toyota,Toyota,2014,510000000,125000,Xăng
329,Vios Toyota,Toyota,2010,299000000,103,Xăng
330,Ranger Ford,Ford,2017,465000000,80000,Dầu
331,Morning Kia,Kia,2022,408000000,10000,Xăng
332,Innova Toyota,Toyota,2015,374000000,96000,Xăng
333,i30 Hyundai,Hyundai,2012,360000000,90000,Xăng
334,Mondeo Ford,Ford,2011,230000000,17000,Xăng
335,LS Lexus,Lexus,1992,190000000,90000,Xăng
336,Odyssey Honda,Honda,2014,1500000000,117000,Xăng
337,Carnival Kia,Kia,2022,1299000000,25000,Xăng
338,Sunny Nissan,Nissan,2014,263000000,29000,Xăng
339,Cerato Kia,Kia,2019,490000000,70000,Xăng
340,X trail Nissan,Nissan,2017,576000000,49000,Xăng
341,EcoSport Ford,Ford,2016,388000000,75000,Xăng
342,K3 Kia,Kia,2014,356000000,59000,Xăng
343,Outlander Mitsubishi,Mitsubishi,2018,635000000,42000,Xăng
344,Kona Hyundai,Hyundai,2019,499000000,69000,Xăng
345,Xpander Mitsubishi,Mitsubishi,2021,535000000,22000,Xăng
346,Fadil Vinfast,Vinfast,2019,300000000,305000,Xăng
347,Sedona Kia,Kia,2019,959000000,52000,Dầu
348,Camry Toyota,Toyota,2008,320000000,150000,Xăng
349,Matiz Chevrolet,Chevrolet,2008,62000000,20000,Xăng
350,EcoSport Ford,Ford,2021,536000000,49000,Xăng
351,Sorento Kia,Kia,2017,528000000,69000,Dầu
352,Vivant Chevrolet,Chevrolet,2008,165000000,126000,Xăng
353,Rio Kia,Kia,2015,365000000,63000,Xăng
354,Morning Kia,Kia,2011,118000000,110000,Xăng
355,Triton Mitsubishi,Mitsubishi,2016,439000000,10,Dầu
356,Corolla Altis Toyota,Toyota,2004,215000000,120000,Xăng
357,i30 Hyundai,Hyundai,2010,265000000,120,Xăng
358,Fortuner Toyota,Toyota,2016,615000000,98600,Dầu
359,Everest Ford,Ford,2008,218000000,100000,Dầu
360,E Class Mercedes Benz,Mercedes Benz,2021,2390000000,9700,Xăng
361,6 Mazda,Mazda,2015,450000000,68000,Xăng
362,6 Mazda,Mazda,2017,509000000,67000,Xăng
363,Vios Toyota,Toyota,2015,370000000,60000,Xăng
364,Accent Hyundai,Hyundai,2013,285000000,169000,Xăng
365,Sienna Toyota,Toyota,2008,410000000,78000,Xăng
366,Innova Toyota,Toyota,2015,347000000,85000,Xăng
367,EcoSport Ford,Ford,2016,360000000,80000,Xăng
368,Fortuner Toyota,Toyota,2013,478000000,86000,Xăng
369,Escape Ford,Ford,2012,350000000,90000,Xăng
370,APV Suzuki,Suzuki,2007,115000000,2019,Xăng
371,Wigo Toyota,Toyota,2018,305000000,62000,Xăng
372,Kona Hyundai,Hyundai,2019,499000000,68000,Xăng
373,Avanza Toyota,Toyota,2018,368000000,50000,Xăng
374,Everest Ford,Ford,2015,535000000,85000,Dầu
375,6 Mazda,Mazda,2016,465000000,70000,Xăng
376,Tucson Hyundai,Hyundai,2016,643000000,46000,Xăng
377,Outlander Mitsubishi,Mitsubishi,2022,760000000,18000,Xăng
378,Macan Porsche,Porsche,2022,3320000000,2600,Xăng
379,3 Mazda,Mazda,2012,333000000,68,Xăng
380,Grunder Mitsubishi,Mitsubishi,2010,399000000,91000,Xăng
381,Focus Ford,Ford,2010,225000000,10000,Xăng
382,Accent Hyundai,Hyundai,2021,400000000,50000,Xăng
383,Vios Toyota,Toyota,2016,285000000,69000,Xăng
384,Ranger Ford,Ford,2020,499000000,44000,Dầu
385,Fortuner Toyota,Toyota,2011,420000000,52000,Xăng
386,Fortuner Toyota,Toyota,2013,430000000,120,Xăng
387,Vios Toyota,Toyota,2019,450000000,36000,Xăng
388,Escape Ford,Ford,2013,380000000,91000,Xăng
389,Innova Toyota,Toyota,2016,346000000,62000,Xăng
390,Morning Kia,Kia,2015,190000000,66000,Xăng
391,Fortuner Toyota,Toyota,2012,500000000,65000,Xăng
392,Fortuner Toyota,Toyota,2018,859000000,60000,Dầu
393,GLC Mercedes Benz,Mercedes Benz,2017,1190000000,78000,Xăng
394,Kona Hyundai,Hyundai,2021,619000000,18000,Xăng
395,C Class Mercedes Benz,Mercedes Benz,2011,480000000,60997,Xăng
396,Vios Toyota,Toyota,2016,285000000,62000,Xăng
397,Camry Toyota,Toyota,2019,740000000,46000,Xăng
398,Morning Kia,Kia,2018,319000000,62000,Xăng
399,3 Mazda,Mazda,2022,560000000,12000,Xăng
400,Crown Toyota,Toyota,2016,550000000,100000,Xăng
401,BT 50 Mazda,Mazda,2016,400000000,68500,Dầu
402,Accent Hyundai,Hyundai,2019,445000000,39000,Xăng
403,Accent Hyundai,Hyundai,2022,475000000,8500,Xăng
404,Everest Ford,Ford,2011,368000000,80000,Dầu
405,Santa Fe Hyundai,Hyundai,2019,845000000,74000,Dầu
406,Pickup Mazda,Mazda,2017,425000000,800000,Dầu
407,Vios Toyota,Toyota,2014,290000000,90000,Xăng
408,3 Mazda,Mazda,2016,458000000,68000,Xăng
409,Grand i10 Hyundai,Hyundai,2014,205000000,85000,Xăng
410,EcoSport Ford,Ford,2016,385000000,72000,Xăng
411,Verna Hyundai,Hyundai,2008,189000000,200000,Dầu
412,CR V Honda,Honda,2007,285000000,150000,Xăng
413,GLC Class Mercedes Benz,Mercedes Benz,2018,1182000000,75000,Xăng
414,City Honda,Honda,2017,432000000,60000,Xăng
415,EcoSport Ford,Ford,2020,525000000,16000,Xăng
416,Camry Toyota,Toyota,2008,360000000,91000,Xăng
417,Focus Ford,Ford,2018,455000000,17000,Xăng
418,Venza Toyota,Toyota,2009,545000000,100,Xăng
419,Rush Toyota,Toyota,2020,539000000,34000,Xăng
420,Transit Ford,Ford,2022,795000000,28000,Dầu
421,BT 50 Mazda,Mazda,2014,380000000,101000,Dầu
422,Innova Toyota,Toyota,2018,509000000,63000,Xăng
423,Grunder Mitsubishi,Mitsubishi,2011,399000000,90050,Xăng
424,Venza Toyota,Toyota,2009,475000000,84000,Xăng
425,Morning Kia,Kia,2015,175000000,96000,Xăng
426,3 Mazda,Mazda,2017,448000000,86000,Xăng
427,EcoSport Ford,Ford,2016,370000000,38000,Xăng
428,Everest Ford,Ford,2018,895000000,46000,Dầu
429,Forte Kia,Kia,2011,255000000,100000,Xăng
430,6 Mazda,Mazda,2018,515000000,68000,Xăng
431,LS Lexus,Lexus,2005,375000000,110000,Xăng
432,GLC Class Mercedes Benz,Mercedes Benz,2022,1899000000,5000,Xăng
433,Lacetti Daewoo,Daewoo,2004,75000000,124848,Xăng
434,Civic Honda,Honda,2018,556000000,55500,Xăng
435,Accord Honda,Honda,2020,950000000,22000,Xăng
436,Fortuner Toyota,Toyota,2016,595000000,43000,Dầu
437,Transit Ford,Ford,2022,795000000,28000,Dầu
438,C Class Mercedes Benz,Mercedes Benz,2002,112000000,1,Xăng
439,CX 5 Mazda,Mazda,2022,775000000,15000,Xăng
440,Lux A2.0 Vinfast,Vinfast,2020,650000000,30000,Xăng
441,Seltos Kia,Kia,2020,649000000,25000,Xăng
442,Everest Ford,Ford,2013,420000000,82000,Dầu
443,Civic Honda,Honda,2009,209000000,150000,Xăng
