Price,company,Field2_links,name,Field3_links,year,kms_driven,Field6,transmission,fuel_type,Field9,Field10,Field11,Field12,Field13,Field14
489.000.000 đ,Mazda,https://xe.chotot.com/mua-ban-oto-mazda-sdcb7,CX 5,https://xe.chotot.com/mua-ban-oto-mazda-cx-5-sdcb7cm280,2014,898989,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng,> 1 tấn,> 2 tấn
485.000.000 đ,Ford,https://xe.chotot.com/mua-ban-oto-ford-sdcb3,Ranger,https://xe.chotot.com/mua-ban-oto-ford-ranger-sdcb3cm145,2017,48000,Đã sử dụng,Tự động,Dầu,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn,,
735.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Sedona,https://xe.chotot.com/mua-ban-oto-kia-sedona-sdcb1cm33,2017,80000,Đã sử dụng,Tự động,Dầu,Minivan (MPV),7,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
193.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Vios,https://xe.chotot.com/mua-ban-oto-toyota-vios-sdcb2cm101,2013,90000,Đã sử dụng,Số sàn,Xăng,Sedan,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
455.000.000 đ,Mazda,https://xe.chotot.com/mua-ban-oto-mazda-sdcb7,BT 50,https://xe.chotot.com/mua-ban-oto-mazda-bt-50-sdcb7cm278,2016,680000,Đã sử dụng,Số sàn,Dầu,Thái Lan,Pick-up (bán tải),5,Bảo hành hãng,> 1 tấn,> 2 tấn
950.000.000 đ,Honda,https://xe.chotot.com/mua-ban-oto-honda-sdcb6,Accord,https://xe.chotot.com/mua-ban-oto-honda-accord-sdcb6cm239,2020,20000,Đã sử dụng,Tự động,Xăng,Thái Lan,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
325.000.000 đ,Vinfast,https://xe.chotot.com/mua-ban-oto-vinfast-sdcb80,Fadil,https://xe.chotot.com/mua-ban-oto-vinfast-fadil-sdcb80cm1082,2022,30000,Đã sử dụng,Tự động,Xăng,Hatchback,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
278.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Fortuner,https://xe.chotot.com/mua-ban-oto-toyota-fortuner-sdcb2cm67,2008,100000,Đã sử dụng,Tự động,Xăng,SUV / Cross over,7,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
449.000.000 đ,Mazda,https://xe.chotot.com/mua-ban-oto-mazda-sdcb7,3,https://xe.chotot.com/mua-ban-oto-mazda-3-sdcb7cm268,2016,58000,Đã sử dụng,Tự động,Xăng,Sedan,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
895.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Corolla Cross,https://xe.chotot.com/mua-ban-oto-toyota-corolla-cross-sdcb2cm1095,2022,12000,Đã sử dụng,Tự động,Xăng,Nhật Bản,SUV / Cross over,5,Bảo hành hãng,> 1 tấn,> 2 tấn
87.000.000 đ,Chevrolet,https://xe.chotot.com/mua-ban-oto-chevrolet-sdcb4,Spark,https://xe.chotot.com/mua-ban-oto-chevrolet-spark-sdcb4cm179,2009,5868,Đã sử dụng,Số sàn,Xăng,Hatchback,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
246.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Morning,https://xe.chotot.com/mua-ban-oto-kia-morning-sdcb1cm21,2015,6,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Hatchback,2,Bảo hành hãng,> 1 tấn,> 2 tấn
1.840.000.000 đ,Porsche,https://xe.chotot.com/mua-ban-oto-porsche-sdcb63,Panamera,https://xe.chotot.com/mua-ban-oto-porsche-panamera-sdcb63cm660,2011,27000,Đã sử dụng,Tự động,Xăng,Sedan,4,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
250.000.000 đ,Chevrolet,https://xe.chotot.com/mua-ban-oto-chevrolet-sdcb4,Cruze,https://xe.chotot.com/mua-ban-oto-chevrolet-cruze-sdcb4cm164,2014,112000,Đã sử dụng,Số sàn,Xăng,Sedan,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
326.000.000 đ,Hyundai,https://xe.chotot.com/mua-ban-oto-hyundai-sdcb5,Grand i10,https://xe.chotot.com/mua-ban-oto-hyundai-grand-i10-sdcb5cm210,2018,40000,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5,Bảo hành hãng,> 1 tấn,> 2 tấn
248.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Carens,https://xe.chotot.com/mua-ban-oto-kia-carens-sdcb1cm4,2014,122000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Minivan (MPV),7,Bảo hành hãng,> 1 tấn,> 2 tấn
675.000.000 đ,,,,,,,,,,,,,,,
538.000.000 đ,Hyundai,https://xe.chotot.com/mua-ban-oto-hyundai-sdcb5,Kona,https://xe.chotot.com/mua-ban-oto-hyundai-kona-sdcb5cm1079,2018,37000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,SUV / Cross over,5,Bảo hành hãng,> 1 tấn,> 2 tấn
789.000.000 đ,BMW,https://xe.chotot.com/mua-ban-oto-bmw-sdcb9,5 Series,https://xe.chotot.com/mua-ban-oto-bmw-5-series-sdcb9cm321,2016,43000,Đã sử dụng,Tự động,Xăng,Đức,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
319.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Yaris,https://xe.chotot.com/mua-ban-oto-toyota-yaris-sdcb2cm105,2011,100000,Đã sử dụng,Tự động,Xăng,Hatchback,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
899.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Sedona,https://xe.chotot.com/mua-ban-oto-kia-sedona-sdcb1cm33,2018,68000,Đã sử dụng,Tự động,Dầu,Việt Nam,Minivan (MPV),7,Bảo hành hãng,> 1 tấn,> 2 tấn
1.200.000.000 đ,Mercedes Benz,https://xe.chotot.com/mua-ban-oto-mercedes-benz-sdcb16,C Class,https://xe.chotot.com/mua-ban-oto-mercedes-benz-c-class-sdcb16cm439,2020,27000,Đã sử dụng,Tự động,Xăng,Việt Nam,Bảo hành hãng,> 1 tấn,> 2 tấn,,
609.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Fortuner,https://xe.chotot.com/mua-ban-oto-toyota-fortuner-sdcb2cm67,2016,70000,Đã sử dụng,Số sàn,Dầu,Việt Nam,SUV / Cross over,7,Bảo hành hãng,> 1 tấn,> 2 tấn
140.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Hiace,https://xe.chotot.com/mua-ban-oto-toyota-hiace-sdcb2cm68,2007,100000,Đã sử dụng,Số sàn,Dầu,Việt Nam,Minivan (MPV),Bảo hành hãng,> 1 tấn,> 2 tấn,
205.000.000 đ,Ford,https://xe.chotot.com/mua-ban-oto-ford-sdcb3,Focus,https://xe.chotot.com/mua-ban-oto-ford-focus-sdcb3cm133,2011,130000,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
355.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Hiace,https://xe.chotot.com/mua-ban-oto-toyota-hiace-sdcb2cm68,2011,175000,Đã sử dụng,Số sàn,Dầu,Việt Nam,Kiểu dáng khác,16,Bảo hành hãng,> 1 tấn,> 2 tấn
245.000.000 đ,Honda,https://xe.chotot.com/mua-ban-oto-honda-sdcb6,City,https://xe.chotot.com/mua-ban-oto-honda-city-sdcb6cm240,2013,11600,Đã sử dụng,Số sàn,Xăng,Nhật Bản,5,Bảo hành hãng,> 1 tấn,> 2 tấn,
115.000.000 đ,Ford,https://xe.chotot.com/mua-ban-oto-ford-sdcb3,Mondeo,https://xe.chotot.com/mua-ban-oto-ford-mondeo-sdcb3cm140,2003,130,Đã sử dụng,Tự động,Xăng,Sedan,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
720.000.000 đ,Ford,https://xe.chotot.com/mua-ban-oto-ford-sdcb3,Transit,https://xe.chotot.com/mua-ban-oto-ford-transit-sdcb3cm149,2021,19455,Đã sử dụng,Số sàn,Dầu,Thái Lan,Van,Bảo hành hãng,> 1 tấn,> 2 tấn,
3.850.000.000 đ,Porsche,https://xe.chotot.com/mua-ban-oto-porsche-sdcb63,Macan,https://xe.chotot.com/mua-ban-oto-porsche-macan-sdcb63cm659,2022,2000,Đã sử dụng,Tự động,Xăng,SUV / Cross over,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
650.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Sorento,https://xe.chotot.com/mua-ban-oto-kia-sorento-sdcb1cm35,2017,120000,Đã sử dụng,Tự động,Dầu,Hàn Quốc,SUV / Cross over,7,Bảo hành hãng,> 1 tấn,> 2 tấn
609.000.000 đ,Mitsubishi,https://xe.chotot.com/mua-ban-oto-mitsubishi-sdcb18,Xpander Cross,https://xe.chotot.com/mua-ban-oto-mitsubishi-xpander-cross-sdcb18cm1097,2021,15000,Đã sử dụng,Tự động,Xăng,Nước khác,Minivan (MPV),7,Bảo hành hãng,> 1 tấn,> 2 tấn
498.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Camry,https://xe.chotot.com/mua-ban-oto-toyota-camry-sdcb2cm54,2013,82000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
580.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Sonet,https://xe.chotot.com/mua-ban-oto-kia-sonet-sdcb1cm1109,2021,170000,Đã sử dụng,Tự động,Xăng,SUV / Cross over,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
210.000.000 đ,Chevrolet,https://xe.chotot.com/mua-ban-oto-chevrolet-sdcb4,Aveo,https://xe.chotot.com/mua-ban-oto-chevrolet-aveo-sdcb4cm154,2017,155,Đã sử dụng,Số sàn,Xăng,Sedan,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
815.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Fortuner,https://xe.chotot.com/mua-ban-oto-toyota-fortuner-sdcb2cm67,2019,65488,Đã sử dụng,Tự động,Xăng,SUV / Cross over,7,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
178.000.000 đ,Ford,https://xe.chotot.com/mua-ban-oto-ford-sdcb3,Mondeo,https://xe.chotot.com/mua-ban-oto-ford-mondeo-sdcb3cm140,2004,15000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn,,
505.000.000 đ,Mitsubishi,https://xe.chotot.com/mua-ban-oto-mitsubishi-sdcb18,Xpander,https://xe.chotot.com/mua-ban-oto-mitsubishi-xpander-sdcb18cm992,2021,17000,Đã sử dụng,Số sàn,Xăng,Minivan (MPV),7,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
285.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Vios,https://xe.chotot.com/mua-ban-oto-toyota-vios-sdcb2cm101,2016,65663,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
609.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Seltos,https://xe.chotot.com/mua-ban-oto-kia-seltos-sdcb1cm1098,2020,28000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng,> 1 tấn,> 2 tấn
379.000.000 đ,Ford,https://xe.chotot.com/mua-ban-oto-ford-sdcb3,Focus,https://xe.chotot.com/mua-ban-oto-ford-focus-sdcb3cm133,2018,990000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
289.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Vios,https://xe.chotot.com/mua-ban-oto-toyota-vios-sdcb2cm101,2016,69523,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
538.000.000 đ,Chevrolet,https://xe.chotot.com/mua-ban-oto-chevrolet-sdcb4,Colorado,https://xe.chotot.com/mua-ban-oto-chevrolet-colorado-sdcb4cm161,2019,Đã sử dụng,Tự động,Dầu,Việt Nam,Pick-up (bán tải),5,Bảo hành hãng,> 1 tấn,> 2 tấn,
1.339.000.000 đ,Mercedes Benz,https://xe.chotot.com/mua-ban-oto-mercedes-benz-sdcb16,C Class,https://xe.chotot.com/mua-ban-oto-mercedes-benz-c-class-sdcb16cm439,2021,36000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
185.000.000 đ,Chevrolet,https://xe.chotot.com/mua-ban-oto-chevrolet-sdcb4,Spark,https://xe.chotot.com/mua-ban-oto-chevrolet-spark-sdcb4cm179,2018,75,Đã sử dụng,Số sàn,Xăng,Hatchback,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
458.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Vios,https://xe.chotot.com/mua-ban-oto-toyota-vios-sdcb2cm101,2017,66000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
685.000.000 đ,Honda,https://xe.chotot.com/mua-ban-oto-honda-sdcb6,Civic,https://xe.chotot.com/mua-ban-oto-honda-civic-sdcb6cm241,2020,19000,Đã sử dụng,5,Xăng,Thái Lan,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
522.000.000 đ,Ford,https://xe.chotot.com/mua-ban-oto-ford-sdcb3,Ranger,https://xe.chotot.com/mua-ban-oto-ford-ranger-sdcb3cm145,2019,51000,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick-up (bán tải),5,Bảo hành hãng,> 1 tấn,> 2 tấn
565.000.000 đ,Mazda,https://xe.chotot.com/mua-ban-oto-mazda-sdcb7,CX 5,https://xe.chotot.com/mua-ban-oto-mazda-cx-5-sdcb7cm280,2016,83000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng,> 1 tấn,> 2 tấn
950.000.000 đ,Subaru,https://xe.chotot.com/mua-ban-oto-subaru-sdcb71,Outback,https://xe.chotot.com/mua-ban-oto-subaru-outback-sdcb71cm925,2016,60000,Đã sử dụng,Tự động,Xăng,Hatchback,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
522.000.000 đ,Mitsubishi,https://xe.chotot.com/mua-ban-oto-mitsubishi-sdcb18,Triton,https://xe.chotot.com/mua-ban-oto-mitsubishi-triton-sdcb18cm502,2018,82000,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick-up (bán tải),5,Bảo hành hãng,> 1 tấn,> 2 tấn
345.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Forte,https://xe.chotot.com/mua-ban-oto-kia-forte-sdcb1cm10,2013,39999,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
345.000.000 đ,Suzuki,https://xe.chotot.com/mua-ban-oto-suzuki-sdcb22,Ciaz,https://xe.chotot.com/mua-ban-oto-suzuki-ciaz-sdcb22cm1031,2019,40000,Đã sử dụng,Tự động,Xăng,Thái Lan,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
1.439.000.000 đ,Mercedes Benz,https://xe.chotot.com/mua-ban-oto-mercedes-benz-sdcb16,GLE Class,https://xe.chotot.com/mua-ban-oto-mercedes-benz-gle-class-sdcb16cm449,2016,94000,Đã sử dụng,Tự động,Xăng,Mỹ,SUV / Cross over,5,Bảo hành hãng,> 1 tấn,> 2 tấn
435.000.000 đ,Suzuki,https://xe.chotot.com/mua-ban-oto-suzuki-sdcb22,Ertiga,https://xe.chotot.com/mua-ban-oto-suzuki-ertiga-sdcb22cm599,2019,90000,Đã sử dụng,Tự động,Xăng,Minivan (MPV),5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
108.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Vios,https://xe.chotot.com/mua-ban-oto-toyota-vios-sdcb2cm101,2007,123456,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
508.000.000 đ,Mazda,https://xe.chotot.com/mua-ban-oto-mazda-sdcb7,3,https://xe.chotot.com/mua-ban-oto-mazda-3-sdcb7cm268,2018,55000,Đã sử dụng,Tự động,Xăng,Nhật Bản,Hatchback,5,Bảo hành hãng,> 1 tấn,> 2 tấn
635.000.000 đ,Vinfast,https://xe.chotot.com/mua-ban-oto-vinfast-sdcb80,Lux A2.0,https://xe.chotot.com/mua-ban-oto-vinfast-lux-a2-0-sdcb80cm1130,2020,43000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn,,
615.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,K3,https://xe.chotot.com/mua-ban-oto-kia-k3-sdcb1cm15,2021,17000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
518.000.000 đ,Hyundai,https://xe.chotot.com/mua-ban-oto-hyundai-sdcb5,Santa Fe,https://xe.chotot.com/mua-ban-oto-hyundai-santa-fe-sdcb5cm223,2011,13000,Đã sử dụng,Tự động,Dầu,Hàn Quốc,SUV / Cross over,7,Bảo hành hãng,> 1 tấn,> 2 tấn
438.000.000 đ,Mazda,https://xe.chotot.com/mua-ban-oto-mazda-sdcb7,2,https://xe.chotot.com/mua-ban-oto-mazda-2-sdcb7cm267,2019,20000,Đã sử dụng,Tự động,Xăng,Nhật Bản,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
92.000.000 đ,Chevrolet,https://xe.chotot.com/mua-ban-oto-chevrolet-sdcb4,Spark,https://xe.chotot.com/mua-ban-oto-chevrolet-spark-sdcb4cm179,2014,80000,Đã sử dụng,Số sàn,Xăng,Việt Nam,Hatchback,5,Bảo hành hãng,> 1 tấn,> 2 tấn
679.000.000 đ,Hyundai,https://xe.chotot.com/mua-ban-oto-hyundai-sdcb5,Tucson,https://xe.chotot.com/mua-ban-oto-hyundai-tucson-sdcb5cm229,2017,45000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng,> 1 tấn,> 2 tấn
638.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Seltos,https://xe.chotot.com/mua-ban-oto-kia-seltos-sdcb1cm1098,2021,30000,Đã sử dụng,Tự động,Xăng,SUV / Cross over,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
750.000.000 đ,Honda,https://xe.chotot.com/mua-ban-oto-honda-sdcb6,CR V,https://xe.chotot.com/mua-ban-oto-honda-cr-v-sdcb6cm243,2018,65000,Đã sử dụng,Tự động,Xăng,Thái Lan,SUV / Cross over,7,Bảo hành hãng,> 1 tấn,> 2 tấn
338.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Soluto,https://xe.chotot.com/mua-ban-oto-kia-soluto-sdcb1cm1091,2021,41000,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
2.000.000.000 đ,Mercedes Benz,https://xe.chotot.com/mua-ban-oto-mercedes-benz-sdcb16,S Class,https://xe.chotot.com/mua-ban-oto-mercedes-benz-s-class-sdcb16cm455,2016,70000,Đã sử dụng,Tự động,Xăng,Đức,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
358.000.000 đ,Mitsubishi,https://xe.chotot.com/mua-ban-oto-mitsubishi-sdcb18,Attrage,https://xe.chotot.com/mua-ban-oto-mitsubishi-attrage-sdcb18cm471,2022,3000,Đã sử dụng,Tự động,Xăng,Nhật Bản,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
235.000.000 đ,Hãng khác,https://xe.chotot.com/mua-ban-oto-hang-khac-sdcb24,Dòng khác,https://xe.chotot.com/mua-ban-oto-hang-khac-dong-khac-sdcb24cm979,2010,66666,Đã sử dụng,Số sàn,Dầu,Đức,Van,Bảo hành hãng,> 1 tấn,> 2 tấn,
600.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Sonet,https://xe.chotot.com/mua-ban-oto-kia-sonet-sdcb1cm1109,2022,12000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng,> 1 tấn,> 2 tấn
669.000.000 đ,Mitsubishi,https://xe.chotot.com/mua-ban-oto-mitsubishi-sdcb18,Outlander,https://xe.chotot.com/mua-ban-oto-mitsubishi-outlander-sdcb18cm495,2018,38000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,7,Bảo hành hãng,> 1 tấn,> 2 tấn
1.118.000.000 đ,Honda,https://xe.chotot.com/mua-ban-oto-honda-sdcb6,CR V,https://xe.chotot.com/mua-ban-oto-honda-cr-v-sdcb6cm243,2023,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn,,,
565.000.000 đ,Vinfast,https://xe.chotot.com/mua-ban-oto-vinfast-sdcb80,Lux A2.0,https://xe.chotot.com/mua-ban-oto-vinfast-lux-a2-0-sdcb80cm1130,2019,67000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
790.000.000 đ,Mercedes Benz,https://xe.chotot.com/mua-ban-oto-mercedes-benz-sdcb16,C Class,https://xe.chotot.com/mua-ban-oto-mercedes-benz-c-class-sdcb16cm439,2016,40000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
425.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Cerato,https://xe.chotot.com/mua-ban-oto-kia-cerato-sdcb1cm6,2014,60000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Hatchback,5,Bảo hành hãng,> 1 tấn,> 2 tấn
599.000.000 đ,Hyundai,https://xe.chotot.com/mua-ban-oto-hyundai-sdcb5,Kona,https://xe.chotot.com/mua-ban-oto-hyundai-kona-sdcb5cm1079,2020,43000,Đã sử dụng,4,Xăng,SUV / Cross over,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
450.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Sienna,https://xe.chotot.com/mua-ban-oto-toyota-sienna-sdcb2cm90,2008,66000,Đã sử dụng,Tự động,Xăng,Mỹ,Minivan (MPV),7,Bảo hành hãng,> 1 tấn,> 2 tấn
522.000.000 đ,Hyundai,https://xe.chotot.com/mua-ban-oto-hyundai-sdcb5,Accent,https://xe.chotot.com/mua-ban-oto-hyundai-accent-sdcb5cm187,2022,9000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,2,Bảo hành hãng,> 1 tấn,> 2 tấn
